user.id,age,Upper_character,Lower_character,Alphabets,Numeric,Punctuation,Printable,Vowel,Consonent,All_Characters,Stop words,Upper_ratio,Lower_ratio,Number_ratio,Vowel_ratio,Consonent_ratio,Punctuation_ratio
1,17.0,567,5212,5779,62,341,8565,2173,6392,8565,413,0.06619964973730298,0.6085230589608873,0.007238762405137186,0.25370694687682427,0.7462930531231757,0.03981319322825452
2,,118,2500,2618,16,102,3568,1010,2558,3568,271,0.033071748878923765,0.7006726457399103,0.004484304932735426,0.2830717488789238,0.7169282511210763,0.02858744394618834
3,16.0,324,5717,6041,25,605,8313,2298,6015,8313,563,0.03897509924215085,0.6877180319980754,0.003007337904486948,0.2764345001804403,0.7235654998195598,0.07277757728858414
4,17.0,87,1802,1889,16,85,2524,695,1829,2524,200,0.034469096671949286,0.713946117274168,0.006339144215530904,0.2753565768621236,0.7246434231378764,0.033676703645007924
5,47.0,1774,36249,38023,251,1267,49616,14422,35194,49616,3589,0.03575459529184134,0.7305909384069655,0.005058851983231216,0.29067236375362787,0.7093276362463722,0.02553611738148984
6,16.0,32943,433520,466463,7304,33040,632578,176887,455691,632578,39952,0.05207737227662043,0.6853226005330568,0.011546402182813819,0.2796287572441659,0.7203712427558341,0.052230713050406434
7,25.0,128,2676,2804,26,83,3616,1065,2551,3616,246,0.035398230088495575,0.7400442477876106,0.007190265486725664,0.29452433628318586,0.7054756637168141,0.02295353982300885
8,,2693,39078,41771,641,1651,55880,15657,40224,55881,3603,0.04819169306204255,0.699307456917378,0.011470804029992305,0.28018467815536585,0.7198153218446341,0.029544925824519962
9,,23164,498603,521767,1484,28679,688866,199249,489617,688866,52475,0.03362627855054539,0.7238025973121043,0.0021542651255832047,0.28924202965453366,0.7107579703454663,0.04163218971469052
10,,700,16329,17029,70,1205,22991,6360,16631,22991,1827,0.030446696533426125,0.7102344395633073,0.0030446696533426125,0.27662998564655733,0.7233700143534426,0.05241181331825497
11,,126,4080,4206,8,174,5503,1651,3852,5503,411,0.022896601853534437,0.7414137743049246,0.001453752498637107,0.300018171906233,0.6999818280937671,0.03161911684535708
12,23.0,555,7267,7822,33,636,10714,3006,7708,10714,769,0.051801381370169874,0.6782714205712153,0.003080082135523614,0.28056748179951463,0.7194325182004854,0.059361582975546015
13,,529,4684,5213,18,257,6960,2010,4950,6960,557,0.07600574712643678,0.6729885057471264,0.002586206896551724,0.28879310344827586,0.7112068965517241,0.03692528735632184
14,37.0,4391,116673,121064,1261,5395,160785,46119,114666,160785,12466,0.02730976148272538,0.7256460490717418,0.007842771402804987,0.2868364586248717,0.7131635413751283,0.03355412507385639
15,17.0,1054,31738,32792,288,1409,43870,12458,31412,43870,3642,0.024025529974925918,0.7234556644631867,0.006564850695235924,0.28397538180989285,0.7160246181901071,0.03211762024162298
16,15.0,76,28608,28684,180,1738,39225,11232,27993,39225,2556,0.0019375398342893562,0.7293307839388146,0.004588910133843212,0.28634799235181646,0.7136520076481836,0.044308476736775015
17,23.0,182,2746,2928,5,112,4080,1120,2960,4080,223,0.0446078431372549,0.6730392156862746,0.0012254901960784314,0.27450980392156865,0.7254901960784313,0.027450980392156862
18,16.0,1550,30687,32237,50,859,43123,12024,31099,43123,2763,0.03594369593952183,0.7116156111587784,0.0011594740625652203,0.2788303225656842,0.7211696774343158,0.019919764394870487
19,17.0,1531,3068,4599,33,320,7210,1750,5460,7210,181,0.21234396671289876,0.42552011095700415,0.004576976421636616,0.24271844660194175,0.7572815533980582,0.044382801664355064
20,,3238,105597,108835,372,7147,148217,41803,106414,148217,11143,0.02184634691027345,0.7124486394947948,0.0025098335548553808,0.28203917229467607,0.717960827705324,0.04821983982943927
21,24.0,123,2243,2366,8,276,3388,891,2497,3388,172,0.03630460448642267,0.6620425029515938,0.0023612750885478157,0.262987012987013,0.737012987012987,0.08146399055489964
22,27.0,19410,489393,508803,1484,23283,668244,193281,474963,668244,50806,0.029046276509777865,0.7323567439438289,0.0022207457156368034,0.2892371648679225,0.7107628351320775,0.03484206367733941
23,23.0,275,9995,10270,3,835,13580,3574,10006,13580,836,0.02025036818851252,0.7360088365243005,0.00022091310751104566,0.26318114874815907,0.736818851251841,0.06148748159057437
24,34.0,365,12766,13131,6,429,16656,5195,11461,16656,1204,0.02191402497598463,0.7664505283381364,0.00036023054755043225,0.3118996157540826,0.6881003842459174,0.02575648414985591
25,43.0,60,1628,1688,1,62,2349,643,1706,2349,170,0.02554278416347382,0.6930608769689229,0.0004257130693912303,0.2737335036185611,0.7262664963814389,0.02639421030225628
26,,5757,159988,165745,392,5310,218238,63164,155074,218238,17433,0.02637945728974789,0.7330895627709199,0.001796204144099561,0.28942713917832824,0.7105728608216717,0.024331234707062933
27,,83,1597,1680,3,75,2276,623,1653,2276,157,0.03646748681898067,0.7016695957820738,0.0013181019332161687,0.27372583479789103,0.726274165202109,0.032952548330404216
28,26.0,48,3860,3908,13,271,5127,1351,3776,5127,309,0.009362200117027502,0.7528769260776282,0.0025355958650282815,0.26350692412716986,0.7364930758728301,0.0528574214940511
29,,210,4647,4857,50,315,6507,1858,4649,6507,430,0.03227293683725219,0.7141539880129092,0.007684032580298141,0.2855386506838789,0.7144613493161212,0.048409405255878286
30,24.0,484,32111,32595,150,1592,43325,12341,30984,43325,3798,0.01117137911136757,0.7411656087709175,0.003462204270051933,0.28484708597807273,0.7151529140219273,0.03674552798615118
31,,82,2111,2193,6,53,2864,839,2025,2864,219,0.02863128491620112,0.7370810055865922,0.002094972067039106,0.29294692737430167,0.7070530726256983,0.018505586592178772
32,17.0,821,16725,17546,112,1110,24185,6759,17426,24185,1942,0.03394666115360761,0.691544345668803,0.004630969609261939,0.27947074633037006,0.7205292536696299,0.045896216663221
33,,42,6745,6787,12,271,8812,2648,6164,8812,428,0.004766227871084884,0.7654334997730368,0.0013617793917385383,0.30049931911030414,0.6995006808896959,0.030753517930095325
34,24.0,165,3128,3293,34,140,4625,1224,3401,4625,323,0.03567567567567568,0.6763243243243243,0.0073513513513513516,0.2646486486486486,0.7353513513513513,0.03027027027027027
35,,338,8156,8494,35,360,11069,3250,7819,11069,781,0.030535730418285303,0.7368325955370856,0.0031619839190532117,0.2936127924835125,0.7063872075164875,0.03252326316740446
36,,280,8450,8730,8,360,11365,3363,8002,11365,941,0.024637043554773426,0.7435107787065552,0.0007039155301363836,0.2959084909810823,0.7040915090189177,0.03167619885613726
37,25.0,5418,125590,131008,522,6661,175876,50282,125595,175877,14000,0.030805619836590345,0.7140785890139131,0.0029679833065153487,0.2858929820272122,0.7141070179727877,0.03787305901283283
38,,62,2244,2306,20,144,3365,880,2485,3365,206,0.018424962852897474,0.6668647845468053,0.005943536404160475,0.26151560178306094,0.7384843982169391,0.042793462109955424
39,23.0,479,13508,13987,91,672,18593,5224,13369,18593,1268,0.02576238369278761,0.7265099768730168,0.0048943150648093365,0.28096595492927445,0.7190340450707255,0.03614263432474587
40,13.0,29,3325,3354,2,165,4495,1274,3221,4495,395,0.0064516129032258064,0.7397107897664071,0.0004449388209121246,0.28342602892102337,0.7165739710789767,0.03670745272525028
41,17.0,51,1646,1697,0,75,2267,644,1623,2267,148,0.022496691662990738,0.7260696956329952,0.0,0.28407587119541244,0.7159241288045876,0.033083370092633436
42,17.0,1041,17840,18881,170,772,24570,7174,17396,24570,1721,0.04236874236874237,0.7260887260887261,0.006919006919006919,0.29198209198209196,0.708017908017908,0.03142043142043142
43,38.0,1499,36579,38078,436,2043,52267,14152,38115,52267,4014,0.028679664032754893,0.699848853004764,0.008341783534543784,0.27076357931390743,0.7292364206860925,0.03908776091989209
44,13.0,180,6259,6439,33,553,8798,2233,6565,8798,761,0.020459195271652648,0.711411684473744,0.0037508524664696522,0.25380768356444644,0.7461923164355535,0.06285519436235508
45,15.0,234,3267,3501,29,197,4732,1300,3432,4732,312,0.04945054945054945,0.6904057480980558,0.0061284868977176665,0.27472527472527475,0.7252747252747253,0.041631445477599324
46,27.0,327,7112,7439,61,293,9816,2735,7082,9817,689,0.03330956504023633,0.7244575735968218,0.006213710909646532,0.278598349801365,0.721401650198635,0.02984618518895793
47,13.0,94,1897,1991,3,148,2781,775,2006,2781,240,0.03380079108234448,0.68212873067242,0.0010787486515641855,0.2786767349874146,0.7213232650125854,0.05321826681049982
48,,649,22728,23377,56,1077,30840,8829,22011,30840,2450,0.021044098573281454,0.7369649805447471,0.0018158236057068742,0.286284046692607,0.713715953307393,0.03492217898832685
49,,145,9703,9848,49,1176,13881,3736,10145,13881,1227,0.010445933290108782,0.6990130394063828,0.0035300050428643467,0.2691448742885959,0.7308551257114041,0.08472012102874432
50,24.0,41,1804,1845,1,74,2449,692,1757,2449,215,0.016741527153940384,0.7366271947733769,0.0004083299305839118,0.28256431196406695,0.717435688035933,0.030216414863209473
51,14.0,8,3324,3332,12,476,4979,1284,3695,4979,332,0.0016067483430407712,0.6676039365334404,0.002410122514561157,0.2578831090580438,0.7421168909419562,0.09560152641092588
52,41.0,3807,100452,104259,301,4579,136437,39816,96621,136437,9777,0.027902988192352516,0.7362518964796939,0.002206146426555846,0.29182699707557336,0.7081730029244266,0.033561277366110365
53,,2513,60267,62780,327,3602,84727,23426,61301,84727,6314,0.029659966716631063,0.7113080836097112,0.0038594544832225857,0.2764880144463984,0.7235119855536015,0.04251301238094114
54,,540,3580,4120,33,260,5680,1532,4148,5680,356,0.09507042253521127,0.6302816901408451,0.0058098591549295775,0.2697183098591549,0.7302816901408451,0.045774647887323945
55,13.0,108,1907,2015,45,224,2960,734,2226,2960,201,0.03648648648648649,0.6442567567567568,0.015202702702702704,0.24797297297297297,0.7520270270270271,0.07567567567567568
56,16.0,75,9733,9808,35,1057,13326,3686,9640,13326,914,0.005628095452498875,0.730376707188954,0.0026264445444994745,0.27660213117214466,0.7233978688278553,0.07931862524388414
57,23.0,1175,29798,30973,260,1864,41790,11827,29963,41790,2837,0.028116774347930126,0.713041397463508,0.006221584111031347,0.2830102895429529,0.7169897104570472,0.0446039722421632
58,33.0,445,10309,10754,33,549,14380,4147,10233,14380,1156,0.030945757997218357,0.7168984700973574,0.0022948539638386646,0.28838664812239223,0.7116133518776078,0.03817802503477052
59,,77,1495,1572,6,91,2107,606,1501,2107,148,0.036544850498338874,0.7095396298054105,0.0028476506881822496,0.2876127195064072,0.7123872804935928,0.04318936877076412
60,16.0,50,2194,2244,15,58,2946,841,2105,2946,257,0.01697216564833673,0.7447386286490156,0.0050916496945010185,0.28547182620502376,0.7145281737949762,0.019687712152070606
61,17.0,1591,39620,41211,264,1472,54735,15625,39110,54735,4387,0.02906732438110898,0.7238512834566548,0.004823239243628392,0.2854663378094455,0.7145336621905545,0.026893212752352243
62,23.0,5324,108296,113620,442,6550,153483,43471,110012,153483,10807,0.034687880742492655,0.7055895441188926,0.0028797977626186613,0.2832300645674114,0.7167699354325886,0.04267573607500505
63,17.0,303,4927,5230,13,617,7478,1964,5514,7478,478,0.04051885530890612,0.658866006953731,0.0017384327360256753,0.26263706873495585,0.7373629312650442,0.08250869216368013
64,16.0,674,12891,13565,77,737,18619,4992,13627,18619,1340,0.03619958107309738,0.6923572694559321,0.004135560449003706,0.26811321768086366,0.7318867823191364,0.03958322144046404
65,42.0,438,8105,8543,71,443,11161,3151,8010,11161,722,0.03924379535883881,0.7261894095511154,0.006361437147209032,0.2823223725472628,0.7176776274527372,0.039691783890332406
66,,922,20732,21654,91,898,27785,8186,19599,27785,1694,0.033183372323195966,0.7461579989202807,0.003275148461400036,0.29461939895627137,0.7053806010437287,0.03231959690480475
67,34.0,200,4404,4604,377,409,6863,1757,5106,6863,414,0.029141774734081305,0.6417018796444703,0.05493224537374326,0.2560104910389043,0.7439895089610957,0.05959492933119627
68,,857,24425,25282,62,1196,34133,9413,24720,34133,2675,0.0251076670670612,0.7155831599917968,0.0018164239885155129,0.27577417748220195,0.724225822517798,0.03503940468168634
69,17.0,1979,33676,35655,115,1563,47948,13860,34088,47948,3996,0.041273880036706435,0.7023442062234087,0.00239843163427046,0.2890631517477267,0.7109368482522733,0.032597814298823725
70,17.0,85,7455,7540,71,1436,11233,2605,8628,11233,465,0.00756699011840114,0.6636695450903588,0.006320662334193893,0.23190599127570552,0.7680940087242945,0.12783762129440043
71,25.0,203,3063,3266,48,265,4589,1224,3365,4589,233,0.04423621704074962,0.6674656787971236,0.010459795162344738,0.26672477663979083,0.7332752233602092,0.05774678579211157
72,,370,13134,13504,32,908,18152,5161,12991,18152,1480,0.020383428823270162,0.7235566328779198,0.0017628911414720142,0.28432128691053327,0.7156787130894667,0.0500220361392684
73,25.0,2107,40076,42183,117,2716,59406,16332,43074,59406,4343,0.035467797865535465,0.6746119920546746,0.0019694980305019695,0.27492172507827495,0.725078274921725,0.04571928761404572
74,26.0,724,12895,13619,162,926,20645,5133,15512,20645,1213,0.03506902397674982,0.62460644223783,0.007846936304189877,0.24863162993460886,0.7513683700653911,0.0448534754177767
75,14.0,452,9001,9453,7,420,12483,3568,8915,12483,876,0.03620924457261876,0.7210606424737643,0.0005607626371865737,0.28582872706881357,0.7141712729311864,0.03364575823119442
76,,334,9856,10190,26,563,13531,3900,9631,13531,1015,0.024684058827876727,0.7284014485256078,0.0019215135614514818,0.2882270342177223,0.7117729657822778,0.041608159042199395
77,15.0,497,7238,7735,16,552,10702,3071,7631,10702,741,0.04643991777237899,0.6763221827695758,0.0014950476546439918,0.28695570921323116,0.7130442907867688,0.051579144085217715
78,25.0,271,9063,9334,38,463,12437,3717,8720,12437,752,0.0217898206963094,0.7287127120688269,0.003055399212028624,0.29886628608185256,0.7011337139181475,0.037227627241296135
79,24.0,856,27768,28624,126,1261,37412,11018,26394,37412,2929,0.02288035924302363,0.7422217470330376,0.003367903346519833,0.2945044370790121,0.7054955629209879,0.03370576285683738
80,13.0,1181,12479,13660,282,1225,19394,5366,14028,19394,1017,0.06089512220274312,0.6434464267299165,0.014540579560688873,0.2766835103640301,0.7233164896359698,0.06316386511292152
81,26.0,675,15779,16454,28,854,22564,6308,16256,22564,1573,0.029914908704130473,0.699299769544407,0.0012409147314305974,0.27956036163800746,0.7204396383619925,0.03784789930863322
82,24.0,1098,22624,23722,159,1050,31512,9004,22508,31512,2129,0.034843869002284845,0.717948717948718,0.005045696877380046,0.28573241939578575,0.7142675806042142,0.03332063975628332
83,,91,3211,3302,2,115,4222,1251,2971,4222,318,0.021553765987683562,0.7605400284225485,0.0004737091425864519,0.2963050686878257,0.7036949313121743,0.027238275698720987
84,27.0,673,15835,16508,253,838,22030,6242,15788,22030,1490,0.030549251021334545,0.7187925556059919,0.011484339536995007,0.28334089877439855,0.7166591012256015,0.0380390376758965
85,35.0,591,12869,13460,6,389,17568,5224,12344,17568,1240,0.033640710382513664,0.7325250455373407,0.00034153005464480874,0.29735883424408016,0.7026411657559198,0.022142531876138433
86,14.0,40,2879,2919,16,502,4120,1106,3014,4120,214,0.009708737864077669,0.6987864077669903,0.003883495145631068,0.2684466019417476,0.7315533980582525,0.12184466019417475
87,15.0,161,5476,5637,0,146,7261,2180,5081,7261,715,0.02217325437267594,0.7541660928246798,0.0,0.30023412753064316,0.6997658724693568,0.020107423219942158
88,43.0,55,2077,2132,24,81,2899,812,2087,2899,218,0.018972059330803724,0.7164539496378062,0.008278716798896172,0.28009658502932044,0.7199034149706796,0.027940669196274578
89,,168,4576,4744,28,190,6269,1776,4493,6269,469,0.026798532461317595,0.7299409794225554,0.004466422076886266,0.28329877173392887,0.7167012282660712,0.030307864093156802
90,,661,16574,17235,19,1080,23091,6459,16632,23091,1656,0.028625871551686805,0.7177688276817807,0.0008228314061755663,0.27971937118357804,0.720280628816422,0.046771469403663765
91,,34,2977,3011,32,473,4441,1162,3279,4441,199,0.007655933348344968,0.6703445170006755,0.007205584327854087,0.26165278090520155,0.7383472190947985,0.10650754334609322
92,27.0,1158,34934,36092,35,1624,47129,13666,33463,47129,3688,0.024570858706953257,0.7412421226845467,0.0007426425343206943,0.28997008211504594,0.7100299178849541,0.03445861359248022
93,16.0,2604,11434,14038,74,1671,20143,5336,14807,20143,710,0.12927567889589436,0.5676413642456436,0.0036737328104056,0.2649059226530308,0.7350940773469692,0.08295685846199673
94,,2612,51475,54087,353,2140,72423,20460,51964,72424,5423,0.03606539268750691,0.7107450568872197,0.004874074892300895,0.2825030376670717,0.7174969623329283,0.029548216060974263
