user.id,max_text,text_len,age,Upper_character,Lower_character,Alphabets,Numeric,Punctuation,Printable,Vowel,Consonent,All_Characters,Stop words,Upper_ratio,Lower_ratio,Number_ratio,Vowel_ratio,Consonent_ratio,Punctuation_ratio,gender_female,gender_male,sign_Aquarius,sign_Aries,sign_Cancer,sign_Capricorn,sign_Gemini,sign_Leo,sign_Libra,sign_Pisces,sign_Sagittarius,sign_Scorpio,sign_Taurus,sign_Virgo,topic_Accounting,topic_Advertising,topic_Agriculture,topic_Architecture,topic_Arts,topic_Automotive,topic_Banking,topic_Biotech,topic_BusinessServices,topic_Chemicals,topic_Communications-Media,topic_Construction,topic_Consulting,topic_Education,topic_Engineering,topic_Environment,topic_Fashion,topic_Government,topic_HumanResources,topic_Internet,topic_InvestmentBanking,topic_Law,topic_LawEnforcement-Security,topic_Manufacturing,topic_Maritime,topic_Marketing,topic_Military,topic_Museums-Libraries,topic_Non-Profit,topic_Publishing,topic_RealEstate,topic_Religion,topic_Science,topic_Sports-Recreation,topic_Student,topic_Technology,topic_Telecommunications,topic_Tourism,topic_Transportation,topic_indUnk
1,987,8535,17.0,567,5212,5779,62,341,8565,2173,6392,8565,413,0.06619964973730298,0.6085230589608873,0.007238762405137186,0.25370694687682427,0.7462930531231757,0.03981319322825452,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1611,8306,16.0,324,5717,6041,25,605,8313,2298,6015,8313,563,0.03897509924215085,0.6877180319980754,0.003007337904486948,0.2764345001804403,0.7235654998195598,0.07277757728858414,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2524,2524,17.0,87,1802,1889,16,85,2524,695,1829,2524,200,0.034469096671949286,0.713946117274168,0.006339144215530904,0.2753565768621236,0.7246434231378764,0.033676703645007924,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,7653,49595,47.0,1774,36249,38023,251,1267,49616,14422,35194,49616,3589,0.03575459529184134,0.7305909384069655,0.005058851983231216,0.29067236375362787,0.7093276362463722,0.02553611738148984,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26597,631917,16.0,32943,433520,466463,7304,33040,632578,176887,455691,632578,39952,0.05207737227662043,0.6853226005330568,0.011546402182813819,0.2796287572441659,0.7203712427558341,0.052230713050406434,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,3573,3614,25.0,128,2676,2804,26,83,3616,1065,2551,3616,246,0.035398230088495575,0.7400442477876106,0.007190265486725664,0.29452433628318586,0.7054756637168141,0.02295353982300885,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2294,10705,23.0,555,7267,7822,33,636,10714,3006,7708,10714,769,0.051801381370169874,0.6782714205712153,0.003080082135523614,0.28056748179951463,0.7194325182004854,0.059361582975546015,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,5023,160690,37.0,4391,116673,121064,1261,5395,160785,46119,114666,160785,12466,0.02730976148272538,0.7256460490717418,0.007842771402804987,0.2868364586248717,0.7131635413751283,0.03355412507385639,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,4017,43844,17.0,1054,31738,32792,288,1409,43870,12458,31412,43870,3642,0.024025529974925918,0.7234556644631867,0.006564850695235924,0.28397538180989285,0.7160246181901071,0.03211762024162298,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,2394,39192,15.0,76,28608,28684,180,1738,39225,11232,27993,39225,2556,0.0019375398342893562,0.7293307839388146,0.004588910133843212,0.28634799235181646,0.7136520076481836,0.044308476736775015,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
